# Sim v1 (Up to date)
# 3375 data points written for 58 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,5 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Altitude above sea level (m),Vitesse verticale (m/s),Vitesse totale (m/s),Accélération verticale (m/s²),Accélération totale (m/s²),Position à l'est du lancement (m),Position au nord du lancement (m),Distance latérale (m),Direction latérale (°),Vitesse latérale (m/s),Accélération latérale (m/s²),Latitude (° N),Longitude (° E),Angle d'attaque (°),Taux de roulis (°/s),Taux de tangage (°/s),Taux d'embardée (°/s),Orientation verticale (zénith) (°),Orientation latérale (azimut) (°),Masse (g),Masse du propergol (g),Moment d'inertie longitudinale (kg·m²),Moment d'inertie rotatif (kg·m²),Accélération Gravitationnelle (m/s²),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Poussée (N),Thrust-to-weight ratio (​),Force de traînée (N),Coefficient de traînée (​),Coefficient de traînée de friction (​),Coefficient de traînée de pression (​),Coefficient de traînée de base (​),Coefficient de trainée axiale (​),Coefficient de force normale (​),Coefficient de moment de tangage (​),Coefficient de moment d'embardée  (​),Coefficient de force latérale  (​),Coefficient de moment de roulis  (​),Coefficient de forçage de roulis (​),Coefficient d'amortissement de roulis (​),Coefficient d'amortissement de tangage (​),Vitesse de vent (m/s),Wind direction (°),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Vitesse du son (m/s),Mach number (​),Nombre de Reynolds (​),Longueur de référence (cm),Surface de référence (cm²),Pas de simulation du temps (s),Temps de calcul (s),Accélération de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.1,0.151,0.151,4.125,4.307,60.96,63.11,0.049,4.768e-8,0.049,90,1.24,16.334,28.61,-80.6,23.74,0,0,0,75,90,2.36e4,1.317e4,6.716,0.084,9.792,NaN,199.862,NaN,1712.737,7.412,0.217,0.577,0.408,0.049,0.12,0.716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.07,90,14.999,1013.232,0.001,340.388,0.016,1.022e6,15,176.715,0.01,0.063,5.582e-4
0.11,0.195,0.195,4.736,4.94,61.267,63.428,0.062,5.641e-8,0.062,90,1.403,16.416,28.61,-80.6,21.067,0,0,0,75,90,2.359e4,1.316e4,6.715,0.084,9.792,NaN,199.854,NaN,1719.531,7.445,0.272,0.574,0.404,0.049,0.12,0.733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90,14.999,1013.227,0.001,340.388,0.017,1.133e6,15,176.715,0.01,0.065,6.4e-4
0.12,0.245,0.245,5.35,5.575,61.574,63.746,0.077,6.514e-8,0.077,90,1.568,16.499,28.61,-80.6,18.862,0,0,0,75,90,2.358e4,1.315e4,6.714,0.084,9.792,NaN,199.845,NaN,1726.326,7.477,0.332,0.571,0.401,0.049,0.12,0.739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.022,90,14.998,1013.221,0.001,340.388,0.019,1.246e6,15,176.715,0.01,0.068,7.222e-4
0.13,0.302,0.302,5.967,6.214,61.881,64.064,0.094,7.388e-8,0.094,90,1.733,16.581,28.61,-80.6,17.019,0,0,0,75,90,2.357e4,1.314e4,6.712,0.084,9.792,NaN,199.836,NaN,1733.121,7.51,0.396,0.568,0.399,0.049,0.12,0.739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.998,90,14.998,1013.215,0.001,340.388,0.021,1.361e6,15,176.715,0.01,0.07,8.048e-4
0.14,0.365,0.365,6.588,6.856,62.189,64.382,0.112,8.261e-8,0.112,90,1.899,16.663,28.61,-80.6,15.458,0,0,0,75,90,2.356e4,1.313e4,6.711,0.084,9.792,NaN,199.827,NaN,1739.916,7.543,0.462,0.566,0.396,0.049,0.12,0.731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.975,90,14.998,1013.207,0.001,340.387,0.022,1.478e6,15,176.715,0.01,0.072,8.878e-4
0.15,0.434,0.434,7.211,7.502,62.496,64.701,0.132,9.134e-8,0.132,90,2.067,16.746,28.61,-80.6,14.121,0,0,0,75,90,2.355e4,1.312e4,6.71,0.084,9.792,NaN,199.819,NaN,1746.711,7.576,0.531,0.563,0.394,0.049,0.12,0.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.951,90,14.997,1013.199,0.001,340.387,0.024,1.596e6,15,176.715,0.01,0.074,9.712e-4
0.16,0.509,0.509,7.838,8.15,62.804,65.019,0.153,1.001e-7,0.153,90,2.234,16.828,28.61,-80.6,13.264,0,0,0,75,90,2.354e4,1.311e4,6.708,0.084,9.792,NaN,199.81,NaN,1753.505,7.609,0.607,0.561,0.392,0.049,0.12,0.709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.979,90,14.997,1013.19,0.001,340.387,0.026,1.72e6,15,176.715,0.01,0.076,0.001
0.17,0.591,0.591,8.467,8.802,63.111,65.338,0.176,1.088e-7,0.176,90,2.403,16.911,28.61,-80.6,12.518,0,0,0,75,90,2.353e4,1.31e4,6.707,0.083,9.792,NaN,199.801,NaN,1760.3,7.641,0.689,0.559,0.39,0.049,0.12,0.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.008,90,14.996,1013.181,0.001,340.387,0.028,1.846e6,15,176.715,0.01,0.078,0.001
0.18,0.678,0.678,9.1,9.457,63.419,65.656,0.201,1.175e-7,0.201,90,2.573,16.993,28.61,-80.6,11.864,0,0,0,75,90,2.351e4,1.309e4,6.706,0.083,9.792,NaN,199.792,NaN,1767.095,7.674,0.775,0.557,0.388,0.049,0.12,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.037,90,14.996,1013.17,0.001,340.386,0.03,1.972e6,15,176.715,0.01,0.08,0.001
0.19,0.773,0.773,9.736,10.115,63.727,65.975,0.228,1.263e-7,0.228,90,2.743,17.076,28.61,-80.6,11.286,0,0,0,75,90,2.35e4,1.308e4,6.704,0.083,9.792,NaN,199.784,NaN,1773.89,7.707,0.866,0.556,0.386,0.049,0.12,0.679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.066,90,14.995,1013.159,0.001,340.386,0.032,2.099e6,15,176.715,0.011,0.082,0.001
