# Sim v1 (Up to date)
# 3375 data points written for 58 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,5 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Altitude above sea level (m),Vitesse verticale (m/s),Vitesse totale (m/s),Accélération verticale (m/s²),Accélération totale (m/s²),Position à l'est du lancement (m),Position au nord du lancement (m),Distance latérale (m),Direction latérale (°),Vitesse latérale (m/s),Accélération latérale (m/s²),Latitude (° N),Longitude (° E),Angle d'attaque (°),Taux de roulis (°/s),Taux de tangage (°/s),Taux d'embardée (°/s),Orientation verticale (zénith) (°),Orientation latérale (azimut) (°),Masse (g),Masse du propergol (g),Moment d'inertie longitudinale (kg·m²),Moment d'inertie rotatif (kg·m²),Accélération Gravitationnelle (m/s²),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Poussée (N),Thrust-to-weight ratio (​),Force de traînée (N),Coefficient de traînée (​),Coefficient de traînée de friction (​),Coefficient de traînée de pression (​),Coefficient de traînée de base (​),Coefficient de trainée axiale (​),Coefficient de force normale (​),Coefficient de moment de tangage (​),Coefficient de moment d'embardée  (​),Coefficient de force latérale  (​),Coefficient de moment de roulis  (​),Coefficient de forçage de roulis (​),Coefficient d'amortissement de roulis (​),Coefficient d'amortissement de tangage (​),Vitesse de vent (m/s),Wind direction (°),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Vitesse du son (m/s),Mach number (​),Nombre de Reynolds (​),Longueur de référence (cm),Surface de référence (cm²),Pas de simulation du temps (s),Temps de calcul (s),Accélération de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
15.76,3512.189,3512.189,116.708,148.269,-14.87,15.415,1871.341,1.012,1871.342,89.969,91.448,4.061,28.61,-80.581,0.003,0.001,-1.009,-0.139,51.356,89.94,1.509e4,4663.5,5.474,0.073,9.781,234.354,188.788,3.038,0,0,97.958,0.576,0.375,0.054,0.147,0.576,9.156e-4,0.003,2.829e-4,0,0,0,0,-7.285e-5,1.856,90,-7.829,656.635,8.622e-4,326.554,0.458,2.17e7,15,176.715,0.05,0.387,0.02
15.81,3518.006,3518.006,115.971,147.56,-14.658,15.253,1875.909,1.017,1875.909,89.969,91.24,4.221,28.61,-80.581,0.062,0.001,1.479,-0.019,51.297,89.94,1.509e4,4663.5,5.474,0.073,9.781,234.253,188.788,3.031,0,0,96.967,0.576,0.375,0.054,0.147,0.576,0.022,0.065,-6.685e-5,0,0,0,0,1.58e-4,1.885,90,-7.867,656.156,8.617e-4,326.531,0.455,2.159e7,15,176.715,0.05,0.387,0.02
15.86,3523.786,3523.786,115.24,146.856,-14.564,15.166,1880.465,1.022,1880.466,89.969,91.029,4.231,28.61,-80.581,0.077,0.001,2.471,-0.006,51.199,89.94,1.509e4,4663.5,5.474,0.073,9.781,234.222,188.788,3.029,0,0,95.963,0.576,0.375,0.054,0.147,0.576,0.027,0.081,-2.601e-4,0,0,0,0,4.453e-4,1.886,90,-7.905,655.679,8.612e-4,326.509,0.453,2.148e7,15,176.715,0.05,0.388,0.02
15.91,3529.53,3529.53,114.513,146.155,-14.552,15.13,1885.011,1.027,1885.012,89.969,90.819,4.144,28.61,-80.581,0.058,0.001,3.442,0.014,51.05,89.94,1.509e4,4663.5,5.474,0.073,9.781,234.246,188.788,3.031,0,0,95.014,0.575,0.375,0.053,0.146,0.575,0.02,0.06,2.061e-4,0,0,0,0,8.72e-4,1.938,90,-7.942,655.205,8.607e-4,326.486,0.451,2.137e7,15,176.715,0.05,0.388,0.02
15.96,3535.237,3535.237,113.784,145.458,-14.605,15.138,1889.547,1.032,1889.548,89.969,90.616,3.98,28.61,-80.581,0.01,0.001,3.869,0.156,50.865,89.941,1.509e4,4663.5,5.474,0.073,9.781,234.316,188.788,3.035,0,0,94.086,0.575,0.375,0.053,0.146,0.575,0.004,0.01,-4.243e-4,0,0,0,0,0.001,2.004,90,-7.979,654.735,8.602e-4,326.464,0.449,2.126e7,15,176.715,0.05,0.389,0.02
16.01,3540.908,3540.908,113.053,144.765,-14.632,15.131,1894.073,1.037,1894.073,89.969,90.419,3.857,28.61,-80.581,0.025,0.001,-3.819,0.054,50.67,89.94,1.509e4,4663.5,5.474,0.073,9.781,234.286,188.788,3.033,0,0,93.219,0.575,0.375,0.053,0.146,0.575,0.009,0.028,4.985e-4,0,0,0,0,-0.001,2.127,90,-8.016,654.267,8.597e-4,326.441,0.448,2.117e7,15,176.715,0.05,0.389,0.02
16.06,3546.542,3546.542,112.319,144.075,-14.689,15.144,1898.589,1.042,1898.59,89.969,90.232,3.687,28.61,-80.581,0.076,0.001,-3.007,0.01,50.497,89.94,1.509e4,4663.5,5.474,0.073,9.781,234.199,188.788,3.027,0,0,92.251,0.575,0.376,0.053,0.146,0.575,0.026,0.081,-2.009e-4,0,0,0,0,-6.833e-4,2.115,90,-8.053,653.802,8.592e-4,326.419,0.445,2.106e7,15,176.715,0.05,0.39,0.019
16.11,3552.14,3552.14,111.589,143.388,-14.555,15.033,1903.096,1.046,1903.097,89.968,90.045,3.761,28.61,-80.581,0.042,0.001,-2.29,-0.004,50.367,89.939,1.509e4,4663.5,5.474,0.073,9.781,234.248,188.788,3.031,0,0,91.406,0.575,0.376,0.053,0.146,0.575,0.014,0.044,4.322e-4,0,0,0,0,-3.998e-4,2.241,90,-8.089,653.34,8.587e-4,326.397,0.444,2.096e7,15,176.715,0.05,0.39,0.019
16.16,3557.701,3557.701,110.861,142.706,-14.512,14.977,1907.594,1.051,1907.594,89.968,89.86,3.706,28.61,-80.58,0.049,0.001,-1.614,-0.002,50.269,89.939,1.509e4,4663.5,5.474,0.073,9.781,234.229,188.788,3.029,0,0,90.368,0.574,0.376,0.053,0.145,0.574,0.017,0.052,-4.385e-5,0,0,0,0,-2.006e-4,2.121,90,-8.125,652.882,8.582e-4,326.375,0.441,2.084e7,15,176.715,0.05,0.391,0.019
16.21,3563.226,3563.226,110.14,142.028,-14.339,14.838,1912.082,1.056,1912.083,89.968,89.671,3.817,28.61,-80.58,0.003,0.001,1.331,-0.045,50.198,89.939,1.509e4,4663.5,5.474,0.073,9.781,234.296,188.788,3.034,0,0,89.433,0.574,0.376,0.053,0.145,0.574,0.001,0.003,1.074e-4,0,0,0,0,1.378e-4,2.111,90,-8.161,652.426,8.577e-4,326.353,0.439,2.073e7,15,176.715,0.05,0.391,0.019
16.26,3568.715,3568.715,109.427,141.353,-14.207,14.726,1916.561,1.061,1916.561,89.968,89.479,3.875,28.61,-80.58,0.038,0.001,1.586,3.871e-4,50.127,89.939,1.509e4,4663.5,5.474,0.073,9.781,234.234,188.788,3.03,0,0,88.469,0.574,0.376,0.053,0.145,0.574,0.013,0.039,3.067e-4,0,0,0,0,1.976e-4,2.052,90,-8.197,651.973,8.572e-4,326.332,0.437,2.062e7,15,176.715,0.05,0.392,0.019
16.31,3574.169,3574.169,108.72,140.682,-14.083,14.621,1921.03,1.066,1921.03,89.968,89.284,3.931,28.61,-80.58,0.07,0.001,2.275,0.005,50.032,89.939,1.509e4,4663.5,5.474,0.073,9.781,234.176,188.788,3.026,0,0,87.578,0.574,0.376,0.053,0.145,0.574,0.024,0.073,1.804e-4,0,0,0,0,4.103e-4,2.067,90,-8.232,651.524,8.568e-4,326.31,0.435,2.052e7,15,176.715,0.05,0.392,0.019
16.36,3579.588,3579.588,108.018,140.015,-14.027,14.561,1925.489,1.071,1925.49,89.968,89.087,3.909,28.61,-80.58,0.073,0.001,3.248,0.009,49.894,89.939,1.509e4,4663.5,5.474,0.073,9.781,234.167,188.788,3.025,0,0,86.733,0.574,0.376,0.053,0.144,0.574,0.025,0.075,4.276e-4,0,0,0,0,8.432e-4,2.127,90,-8.267,651.077,8.563e-4,326.289,0.433,2.042e7,15,176.715,0.05,0.393,0.019
16.41,3584.971,3584.971,107.314,139.352,-14.095,14.581,1929.939,1.076,1929.939,89.968,88.896,3.736,28.61,-80.58,0.017,0.001,3.746,0.035,49.716,89.939,1.509e4,4663.5,5.474,0.073,9.781,234.25,188.788,3.031,0,0,85.838,0.573,0.376,0.053,0.144,0.573,0.006,0.016,-3.836e-4,0,0,0,0,0.001,2.116,90,-8.302,650.633,8.558e-4,326.268,0.431,2.031e7,15,176.715,0.05,0.394,0.019
16.46,3590.319,3590.319,106.61,138.691,-14.095,14.562,1934.379,1.081,1934.379,89.968,88.711,3.656,28.61,-80.58,0.006,0.001,-3.844,0.035,49.525,89.938,1.509e4,4663.5,5.474,0.073,9.781,234.261,188.788,3.032,0,0,85.066,0.573,0.376,0.053,0.144,0.573,0.002,0.008,-2.594e-4,0,0,0,0,-0.001,2.241,90,-8.337,650.192,8.553e-4,326.247,0.43,2.022e7,15,176.715,0.05,0.394,0.019
16.51,3595.632,3595.632,105.903,138.034,-14.153,14.58,1938.81,1.085,1938.81,89.968,88.532,3.501,28.61,-80.58,0.058,0.001,-3.394,0.001,49.342,89.938,1.509e4,4663.5,5.474,0.073,9.781,234.173,188.788,3.026,0,0,84.2,0.573,0.376,0.053,0.144,0.573,0.02,0.062,-3.814e-4,0,0,0,0,-9.462e-4,2.238,90,-8.372,649.753,8.549e-4,326.226,0.428,2.012e7,15,176.715,0.05,0.395,0.019
16.56,3600.909,3600.909,105.196,137.381,-14.124,14.539,1943.232,1.09,1943.233,89.968,88.359,3.45,28.61,-80.58,0.069,0.001,-2.624,-0.001,49.191,89.938,1.509e4,4663.5,5.474,0.073,9.781,234.15,188.788,3.024,0,0,83.358,0.573,0.376,0.053,0.144,0.573,0.024,0.072,4.672e-4,0,0,0,0,-5.707e-4,2.253,90,-8.406,649.318,8.544e-4,326.205,0.426,2.001e7,15,176.715,0.05,0.395,0.019
16.61,3606.151,3606.151,104.491,136.731,-14.076,14.484,1947.646,1.095,1947.646,89.968,88.188,3.412,28.61,-80.58,0.072,0.001,-1.73,-8.065e-4,49.082,89.938,1.509e4,4663.5,5.474,0.073,9.781,234.138,188.788,3.023,0,0,82.432,0.573,0.376,0.053,0.143,0.573,0.025,0.076,2.324e-4,0,0,0,0,-2.508e-4,2.153,90,-8.44,648.886,8.54e-4,326.184,0.423,1.99e7,15,176.715,0.05,0.396,0.019
16.66,3611.358,3611.358,103.791,136.085,-13.921,14.354,1952.051,1.1,1952.051,89.968,88.015,3.502,28.61,-80.58,0.023,0.001,-1.126,0.005,49.013,89.938,1.509e4,4663.5,5.474,0.073,9.781,234.211,188.788,3.028,0,0,81.55,0.572,0.376,0.053,0.143,0.572,0.008,0.024,-4.919e-4,0,0,0,0,-1.073e-4,2.095,90,-8.474,648.456,8.535e-4,326.164,0.421,1.98e7,15,176.715,0.05,0.396,0.018
16.71,3616.531,3616.531,103.1,135.443,-13.718,14.196,1956.447,1.105,1956.448,89.968,87.836,3.651,28.61,-80.58,0.051,0.001,1.314,6.911e-4,48.955,89.937,1.509e4,4663.5,5.474,0.073,9.781,234.16,188.788,3.025,0,0,80.722,0.572,0.376,0.053,0.143,0.572,0.018,0.053,1.264e-4,0,0,0,0,1.474e-4,2.091,90,-8.507,648.03,8.53e-4,326.143,0.419,1.97e7,15,176.715,0.05,0.397,0.018
16.76,3621.669,3621.669,102.417,134.804,-13.61,14.101,1960.835,1.11,1960.835,89.968,87.652,3.689,28.61,-80.58,0.081,0.001,2.126,-0.002,48.871,89.937,1.509e4,4663.5,5.474,0.073,9.781,234.107,188.788,3.021,0,0,79.867,0.572,0.376,0.053,0.143,0.572,0.028,0.084,-2.504e-4,0,0,0,0,3.897e-4,2.039,90,-8.541,647.606,8.526e-4,326.123,0.417,1.959e7,15,176.715,0.05,0.397,0.018
16.81,3626.772,3626.772,101.737,134.169,-13.589,14.065,1965.213,1.115,1965.213,89.967,87.469,3.625,28.61,-80.58,0.067,0.001,2.938,-5.577e-4,48.743,89.937,1.509e4,4663.5,5.474,0.073,9.781,234.123,188.788,3.022,0,0,79.016,0.572,0.377,0.053,0.142,0.572,0.023,0.069,4.81e-5,0,0,0,0,7.517e-4,1.983,90,-8.574,647.185,8.521e-4,326.103,0.415,1.949e7,15,176.715,0.05,0.397,0.018
16.86,3631.842,3631.842,101.059,133.537,-13.557,14.024,1969.582,1.12,1969.582,89.967,87.288,3.589,28.61,-80.58,0.061,0.001,3.725,-0.002,48.576,89.937,1.509e4,4663.5,5.474,0.073,9.781,234.127,188.788,3.023,0,0,78.291,0.572,0.377,0.053,0.142,0.572,0.021,0.062,2.945e-4,0,0,0,0,0.001,2.073,90,-8.607,646.767,8.517e-4,326.083,0.414,1.94e7,15,176.715,0.05,0.398,0.018
16.91,3636.878,3636.878,100.379,132.908,-13.663,14.076,1973.942,1.125,1973.942,89.967,87.114,3.384,28.61,-80.58,0.016,0.001,-3.971,0.001,48.381,89.936,1.509e4,4663.5,5.474,0.073,9.781,234.193,188.788,3.027,0,0,77.458,0.571,0.377,0.053,0.142,0.571,0.006,0.018,4.563e-4,0,0,0,0,-0.001,2.016,90,-8.64,646.351,8.513e-4,326.063,0.412,1.929e7,15,176.715,0.05,0.398,0.018
16.96,3641.88,3641.88,99.693,132.283,-13.751,14.119,1978.293,1.13,1978.293,89.967,86.95,3.204,28.61,-80.58,0.085,0.001,-3.361,0.004,48.194,89.936,1.509e4,4663.5,5.474,0.073,9.781,234.078,188.788,3.019,0,0,76.62,0.571,0.377,0.053,0.142,0.571,0.029,0.089,1.202e-4,0,0,0,0,-0.001,1.938,90,-8.672,645.939,8.508e-4,326.044,0.41,1.919e7,15,176.715,0.05,0.399,0.018
17.01,3646.848,3646.848,99.006,131.662,-13.715,14.076,1982.637,1.135,1982.637,89.967,86.791,3.165,28.61,-80.58,0.092,0.001,-2.328,0.002,48.052,89.936,1.509e4,4663.5,5.474,0.073,9.781,234.061,188.788,3.018,0,0,75.826,0.571,0.377,0.053,0.142,0.571,0.032,0.096,-1.714e-4,0,0,0,0,-4.904e-4,1.906,90,-8.705,645.529,8.504e-4,326.024,0.408,1.909e7,15,176.715,0.05,0.399,0.018
17.06,3651.781,3651.781,98.324,131.043,-13.559,13.946,1986.972,1.14,1986.972,89.967,86.63,3.266,28.61,-80.58,0.036,0.001,-1.616,-0.002,47.956,89.936,1.509e4,4663.5,5.474,0.073,9.781,234.146,188.788,3.024,0,0,75.08,0.571,0.377,0.053,0.141,0.571,0.012,0.037,-3.386e-4,0,0,0,0,-2.384e-4,1.927,90,-8.737,645.122,8.5e-4,326.005,0.406,1.899e7,15,176.715,0.05,0.4,0.018
17.11,3656.68,3656.68,97.65,130.428,-13.383,13.805,1991.3,1.145,1991.3,89.967,86.464,3.387,28.61,-80.58,0.032,0.001,1.602,-0.009,47.878,89.935,1.509e4,4663.5,5.474,0.073,9.781,234.147,188.788,3.024,0,0,74.335,0.571,0.377,0.053,0.141,0.571,0.011,0.033,1.45e-4,0,0,0,0,2.365e-4,1.936,90,-8.768,644.718,8.495e-4,325.985,0.404,1.89e7,15,176.715,0.05,0.4,0.018
17.16,3661.546,3661.546,96.984,129.817,-13.257,13.699,1995.618,1.15,1995.619,89.967,86.293,3.45,28.61,-80.58,0.074,0.001,2.188,-0.004,47.785,89.935,1.509e4,4663.5,5.474,0.073,9.781,234.074,188.788,3.019,0,0,73.582,0.571,0.377,0.053,0.141,0.571,0.025,0.077,-1.807e-4,0,0,0,0,4.452e-4,1.922,90,-8.8,644.317,8.491e-4,325.966,0.402,1.88e7,15,176.715,0.05,0.401,0.018
17.21,3666.379,3666.379,96.323,129.209,-13.203,13.643,1999.929,1.155,1999.929,89.967,86.12,3.436,28.61,-80.58,0.08,0.001,3.005,-8.641e-4,47.655,89.935,1.509e4,4663.5,5.474,0.073,9.781,234.059,188.788,3.018,0,0,72.839,0.57,0.377,0.053,0.141,0.57,0.028,0.082,4.728e-5,0,0,0,0,8.474e-4,1.91,90,-8.831,643.918,8.487e-4,325.947,0.4,1.871e7,15,176.715,0.05,0.401,0.018
17.26,3671.178,3671.178,95.663,128.604,-13.192,13.618,2004.231,1.16,2004.231,89.967,85.95,3.379,28.61,-80.579,0.064,0.001,3.77,9.114e-4,47.485,89.935,1.509e4,4663.5,5.474,0.073,9.781,234.08,188.788,3.019,0,0,72.143,0.57,0.377,0.053,0.141,0.57,0.022,0.065,-1.04e-4,0,0,0,0,0.001,1.951,90,-8.863,643.523,8.483e-4,325.928,0.399,1.862e7,15,176.715,0.05,0.402,0.018
17.31,3675.945,3675.945,95.003,128.001,-13.226,13.625,2008.524,1.165,2008.524,89.967,85.784,3.274,28.61,-80.579,0.024,0.001,4.198,0.016,47.284,89.935,1.509e4,4663.5,5.474,0.073,9.781,234.14,188.788,3.023,0,0,71.464,0.57,0.377,0.053,0.14,0.57,0.008,0.023,1.742e-4,0,0,0,0,0.002,2.003,90,-8.894,643.129,8.478e-4,325.909,0.397,1.853e7,15,176.715,0.05,0.402,0.017
17.36,3680.678,3680.678,94.341,127.402,-13.258,13.633,2012.809,1.17,2012.809,89.967,85.622,3.176,28.61,-80.579,0.016,0.001,-4.267,0.033,47.071,89.935,1.509e4,4663.5,5.474,0.073,9.781,234.148,188.788,3.024,0,0,70.817,0.57,0.377,0.053,0.14,0.57,0.005,0.018,-4.458e-5,0,0,0,0,-0.002,2.086,90,-8.924,642.739,8.474e-4,325.891,0.395,1.845e7,15,176.715,0.05,0.403,0.017
17.41,3685.379,3685.379,93.676,126.806,-13.333,13.672,2017.086,1.175,2017.086,89.967,85.467,3.026,28.61,-80.579,0.079,0.001,-3.718,0.008,46.869,89.935,1.509e4,4663.5,5.474,0.073,9.781,234.042,188.788,3.017,0,0,70.084,0.57,0.377,0.053,0.14,0.57,0.027,0.083,1.721e-4,0,0,0,0,-0.001,2.046,90,-8.955,642.351,8.47e-4,325.872,0.393,1.835e7,15,176.715,0.05,0.403,0.017
17.46,3690.046,3690.046,93.01,126.213,-13.296,13.63,2021.356,1.18,2021.356,89.967,85.317,3.001,28.61,-80.579,0.082,0.001,-2.922,0.005,46.703,89.934,1.509e4,4663.5,5.474,0.073,9.781,234.032,188.788,3.016,0,0,69.409,0.57,0.377,0.052,0.14,0.57,0.028,0.086,1.091e-4,0,0,0,0,-8.377e-4,2.072,90,-8.985,641.966,8.466e-4,325.854,0.392,1.826e7,15,176.715,0.05,0.404,0.017
17.51,3694.68,3694.68,92.346,125.624,-13.269,13.594,2025.618,1.185,2025.618,89.966,85.168,2.954,28.61,-80.579,0.092,0.001,-2.007,0.005,46.579,89.934,1.509e4,4663.5,5.474,0.073,9.781,234.01,188.788,3.015,0,0,68.622,0.57,0.377,0.052,0.14,0.57,0.032,0.096,-1.181e-4,0,0,0,0,-3.995e-4,1.94,90,-9.015,641.584,8.462e-4,325.836,0.39,1.816e7,15,176.715,0.05,0.404,0.017
17.56,3699.281,3699.281,91.685,125.038,-13.14,13.482,2029.873,1.19,2029.873,89.966,85.019,3.019,28.61,-80.579,0.046,0.001,-1.304,0.007,46.499,89.934,1.509e4,4663.5,5.474,0.073,9.781,234.08,188.788,3.019,0,0,67.875,0.569,0.377,0.052,0.14,0.569,0.016,0.048,2.288e-4,0,0,0,0,-1.704e-4,1.853,90,-9.045,641.205,8.458e-4,325.817,0.388,1.806e7,15,176.715,0.05,0.405,0.017
17.61,3703.849,3703.849,91.033,124.455,-12.951,13.329,2034.12,1.195,2034.12,89.966,84.865,3.15,28.61,-80.579,0.036,0.001,1.216,-0.008,46.439,89.933,1.509e4,4663.5,5.474,0.073,9.781,234.09,188.788,3.02,0,0,67.176,0.569,0.377,0.052,0.139,0.569,0.012,0.037,2.015e-4,0,0,0,0,1.495e-4,1.816,90,-9.075,640.828,8.454e-4,325.799,0.386,1.796e7,15,176.715,0.05,0.405,0.017
17.66,3708.384,3708.384,90.391,123.876,-12.724,13.153,2038.359,1.2,2038.359,89.966,84.703,3.333,28.61,-80.579,0.142,0.001,2.105,-0.008,46.36,89.933,1.509e4,4663.5,5.474,0.073,9.781,233.916,188.788,3.009,0,0,66.6,0.569,0.377,0.052,0.139,0.569,0.049,0.147,-4.16e-4,0,0,0,0,4.516e-4,1.927,90,-9.104,640.454,8.45e-4,325.782,0.384,1.789e7,15,176.715,0.05,0.406,0.017
17.71,3712.888,3712.888,89.758,123.299,-12.624,13.069,2042.59,1.205,2042.59,89.966,84.534,3.38,28.61,-80.579,0.178,0.001,3.687,-0.007,46.216,89.933,1.509e4,4663.5,5.474,0.073,9.781,233.854,188.788,3.004,0,0,66.024,0.569,0.378,0.052,0.139,0.569,0.061,0.182,1.238e-4,0,0,0,0,0.001,2.03,90,-9.134,640.082,8.446e-4,325.764,0.383,1.781e7,15,176.715,0.05,0.406,0.017
17.76,3717.36,3717.36,89.126,122.725,-12.69,13.1,2046.812,1.21,2046.813,89.966,84.368,3.25,28.61,-80.579,0.121,0.001,5.123,-0.009,45.993,89.933,1.509e4,4663.5,5.474,0.073,9.781,233.942,188.788,3.01,0,0,65.41,0.569,0.378,0.052,0.139,0.569,0.041,0.122,-9.447e-5,0,0,0,0,0.003,2.082,90,-9.163,639.714,8.442e-4,325.746,0.381,1.772e7,15,176.715,0.05,0.407,0.017
17.81,3721.8,3721.8,88.487,122.154,-12.857,13.206,2051.027,1.215,2051.027,89.966,84.211,3.017,28.61,-80.579,0.005,0.001,5.712,-0.045,45.718,89.933,1.509e4,4663.5,5.474,0.073,9.781,234.124,188.788,3.022,0,0,64.777,0.569,0.378,0.052,0.139,0.569,0.002,0.001,4.509e-4,0,0,0,0,0.003,2.099,90,-9.192,639.347,8.438e-4,325.729,0.379,1.764e7,15,176.715,0.05,0.407,0.017
17.86,3726.209,3726.209,87.84,121.586,-13.039,13.33,2055.234,1.22,2055.234,89.966,84.067,2.769,28.61,-80.579,0.122,0.001,-5.092,0.006,45.444,89.933,1.509e4,4663.5,5.474,0.073,9.781,233.93,188.788,3.009,0,0,64.111,0.568,0.378,0.052,0.139,0.569,0.042,0.129,3.751e-4,0,0,0,0,-0.003,2.055,90,-9.22,638.984,8.434e-4,325.711,0.378,1.755e7,15,176.715,0.05,0.408,0.017
17.91,3730.584,3730.584,87.186,121.02,-13.085,13.354,2059.434,1.225,2059.434,89.966,83.931,2.666,28.61,-80.579,0.171,0.001,-3.697,0.006,45.222,89.933,1.509e4,4663.5,5.474,0.073,9.781,233.848,188.788,3.004,0,0,63.494,0.568,0.378,0.052,0.138,0.568,0.059,0.178,-3.162e-4,0,0,0,0,-0.001,2.066,90,-9.249,638.623,8.43e-4,325.694,0.376,1.746e7,15,176.715,0.05,0.408,0.017
17.96,3734.927,3734.927,86.533,120.458,-13.007,13.282,2063.627,1.23,2063.627,89.966,83.798,2.686,28.61,-80.579,0.149,0.001,-2.166,0.006,45.077,89.933,1.509e4,4663.5,5.474,0.073,9.781,233.878,188.788,3.006,0,0,62.863,0.568,0.378,0.052,0.138,0.568,0.051,0.155,4.058e-5,0,0,0,0,-5.048e-4,2.055,90,-9.277,638.265,8.426e-4,325.677,0.374,1.737e7,15,176.715,0.05,0.409,0.016
18.01,3739.238,3739.238,85.888,119.899,-12.783,13.099,2067.813,1.235,2067.814,89.966,83.66,2.858,28.61,-80.579,0.041,0.001,-1.295,0.012,44.994,89.933,1.509e4,4663.5,5.474,0.073,9.781,234.047,188.788,3.017,0,0,62.294,0.568,0.378,0.052,0.138,0.568,0.014,0.043,-4.116e-4,0,0,0,0,-1.82e-4,2.122,90,-9.305,637.909,8.423e-4,325.66,0.373,1.73e7,15,176.715,0.05,0.409,0.016
18.06,3743.516,3743.516,85.254,119.343,-12.569,12.926,2071.993,1.24,2071.993,89.966,83.513,3.015,28.61,-80.579,0.063,0.001,1.399,-0.002,44.93,89.932,1.509e4,4663.5,5.474,0.073,9.781,234.009,188.788,3.015,0,0,61.698,0.568,0.378,0.052,0.138,0.568,0.022,0.064,1.566e-4,0,0,0,0,2.141e-4,2.137,90,-9.333,637.556,8.419e-4,325.643,0.371,1.721e7,15,176.715,0.05,0.41,0.016
18.11,3747.763,3747.763,84.63,118.79,-12.406,12.793,2076.165,1.245,2076.165,89.966,83.359,3.123,28.61,-80.579,0.139,0.001,2.3,-0.004,44.84,89.932,1.509e4,4663.5,5.474,0.073,9.781,233.883,188.788,3.006,0,0,61.115,0.568,0.378,0.052,0.138,0.568,0.048,0.142,-6.406e-5,0,0,0,0,5.841e-4,2.157,90,-9.36,637.206,8.415e-4,325.626,0.369,1.713e7,15,176.715,0.05,0.41,0.016
18.16,3751.979,3751.979,84.013,118.24,-12.312,12.713,2080.329,1.25,2080.329,89.966,83.202,3.165,28.61,-80.579,0.175,0.001,3.694,-0.006,44.692,89.932,1.509e4,4663.5,5.474,0.073,9.781,233.821,188.788,3.002,0,0,60.584,0.568,0.378,0.052,0.138,0.568,0.06,0.18,-4.812e-5,0,0,0,0,0.002,2.241,90,-9.388,636.858,8.411e-4,325.61,0.368,1.705e7,15,176.715,0.05,0.411,0.016
18.21,3756.165,3756.165,83.397,117.692,-12.334,12.716,2084.485,1.255,2084.485,89.965,83.045,3.092,28.61,-80.579,0.143,0.001,5.117,-0.01,44.47,89.931,1.509e4,4663.5,5.474,0.073,9.781,233.869,188.788,3.005,0,0,60.063,0.568,0.378,0.052,0.137,0.568,0.049,0.145,-7.881e-5,0,0,0,0,0.003,2.334,90,-9.415,636.513,8.408e-4,325.593,0.367,1.698e7,15,176.715,0.05,0.411,0.016
18.26,3760.319,3760.319,82.777,117.148,-12.505,12.829,2088.633,1.26,2088.634,89.965,82.895,2.868,28.61,-80.579,0.019,0.001,5.81,-0.035,44.193,89.931,1.509e4,4663.5,5.474,0.073,9.781,234.062,188.788,3.018,0,0,59.455,0.567,0.378,0.052,0.137,0.567,0.007,0.016,3.211e-4,0,0,0,0,0.004,2.306,90,-9.442,636.17,8.404e-4,325.577,0.365,1.689e7,15,176.715,0.05,0.412,0.016
18.31,3764.442,3764.442,82.146,116.606,-12.681,12.953,2092.774,1.266,2092.775,89.965,82.758,2.642,28.61,-80.579,0.109,0.001,-5.355,0.002,43.909,89.931,1.509e4,4663.5,5.474,0.073,9.781,233.914,188.788,3.008,0,0,58.843,0.567,0.378,0.052,0.137,0.567,0.037,0.116,-2.453e-4,0,0,0,0,-0.003,2.253,90,-9.469,635.83,8.4e-4,325.561,0.363,1.681e7,15,176.715,0.05,0.412,0.016
18.36,3768.534,3768.534,81.511,116.067,-12.716,12.972,2096.909,1.271,2096.909,89.965,82.628,2.561,28.61,-80.579,0.152,0.001,-4.198,0.002,43.669,89.931,1.509e4,4663.5,5.474,0.073,9.781,233.842,188.788,3.004,0,0,58.317,0.567,0.378,0.052,0.137,0.567,0.052,0.158,-5.622e-5,0,0,0,0,-0.002,2.309,90,-9.495,635.493,8.397e-4,325.545,0.362,1.673e7,15,176.715,0.05,0.413,0.016
18.41,3772.593,3772.593,80.877,115.531,-12.656,12.915,2101.037,1.276,2101.038,89.965,82.5,2.571,28.61,-80.578,0.136,0.001,-2.975,0.006,43.49,89.931,1.509e4,4663.5,5.474,0.073,9.781,233.863,188.788,3.005,0,0,57.782,0.567,0.378,0.052,0.137,0.567,0.047,0.141,-6.827e-5,0,0,0,0,-0.001,2.349,90,-9.522,635.158,8.393e-4,325.529,0.36,1.665e7,15,176.715,0.05,0.414,0.016
