# Sim v1 (Up to date)
# 3372 data points written for 12 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,9 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Vitesse totale (m/s),Masse (g),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Coefficient de force normale (​),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
109.554,3567.899,6.15,1.509e4,0,188.788,-12.586,NaN,-8.191,652.041,8.573e-4,0.018
109.85,3566.186,6.083,1.509e4,0,188.788,-12.586,NaN,-8.18,652.182,8.575e-4,0.018
110.146,3564.472,6.086,1.509e4,0,188.788,-12.586,NaN,-8.169,652.323,8.576e-4,0.018
110.442,3562.76,6.128,1.509e4,0,188.788,-12.586,NaN,-8.158,652.464,8.578e-4,0.018
110.738,3561.048,6.118,1.509e4,0,188.788,-12.586,NaN,-8.147,652.606,8.579e-4,0.018
111.034,3559.337,6.058,1.509e4,0,188.788,-12.586,NaN,-8.136,652.747,8.581e-4,0.018
111.33,3557.624,6.088,1.509e4,0,188.788,-12.586,NaN,-8.125,652.888,8.582e-4,0.018
111.626,3555.913,6.05,1.509e4,0,188.788,-12.586,NaN,-8.113,653.029,8.584e-4,0.018
111.922,3554.202,6.067,1.509e4,0,188.788,-12.586,NaN,-8.102,653.17,8.585e-4,0.018
112.218,3552.491,6.099,1.509e4,0,188.788,-12.586,NaN,-8.091,653.311,8.586e-4,0.018
112.513,3550.781,6.135,1.509e4,0,188.788,-12.586,NaN,-8.08,653.453,8.588e-4,0.018
112.809,3549.071,6.078,1.509e4,0,188.788,-12.586,NaN,-8.069,653.594,8.589e-4,0.018
113.105,3547.361,6.083,1.509e4,0,188.788,-12.586,NaN,-8.058,653.735,8.591e-4,0.018
113.401,3545.651,6.089,1.509e4,0,188.788,-12.586,NaN,-8.047,653.876,8.592e-4,0.018
113.696,3543.942,6.094,1.509e4,0,188.788,-12.586,NaN,-8.036,654.017,8.594e-4,0.018
113.992,3542.233,6.099,1.509e4,0,188.788,-12.586,NaN,-8.025,654.158,8.595e-4,0.018
114.287,3540.525,6.153,1.509e4,0,188.788,-12.586,NaN,-8.013,654.298,8.597e-4,0.018
114.583,3538.816,6.172,1.509e4,0,188.788,-12.586,NaN,-8.002,654.439,8.598e-4,0.018
114.879,3537.108,6.195,1.509e4,0,188.788,-12.586,NaN,-7.991,654.58,8.6e-4,0.018
115.174,3535.401,6.147,1.509e4,0,188.788,-12.586,NaN,-7.98,654.721,8.601e-4,0.018
115.47,3533.693,6.137,1.509e4,0,188.788,-12.586,NaN,-7.969,654.862,8.603e-4,0.018
115.765,3531.986,6.119,1.509e4,0,188.788,-12.586,NaN,-7.958,655.003,8.604e-4,0.018
116.06,3530.279,6.137,1.509e4,0,188.788,-12.586,NaN,-7.947,655.143,8.606e-4,0.018
116.356,3528.572,6.114,1.509e4,0,188.788,-12.586,NaN,-7.936,655.284,8.607e-4,0.018
116.651,3526.866,6.145,1.509e4,0,188.788,-12.586,NaN,-7.925,655.425,8.609e-4,0.018
116.947,3525.16,6.126,1.509e4,0,188.788,-12.586,NaN,-7.914,655.566,8.61e-4,0.018
117.242,3523.454,6.127,1.509e4,0,188.788,-12.586,NaN,-7.902,655.706,8.612e-4,0.018
117.537,3521.749,6.076,1.509e4,0,188.788,-12.586,NaN,-7.891,655.847,8.613e-4,0.018
117.832,3520.044,6.062,1.509e4,0,188.788,-12.586,NaN,-7.88,655.988,8.615e-4,0.018
118.128,3518.339,6.041,1.509e4,0,188.788,-12.586,NaN,-7.869,656.128,8.616e-4,0.018
118.423,3516.634,6.047,1.509e4,0,188.788,-12.586,NaN,-7.858,656.269,8.618e-4,0.018
118.718,3514.93,6.079,1.509e4,0,188.788,-12.586,NaN,-7.847,656.409,8.619e-4,0.018
119.013,3513.226,6.077,1.509e4,0,188.788,-12.586,NaN,-7.836,656.55,8.621e-4,0.018
119.308,3511.523,6.1,1.509e4,0,188.788,-12.586,NaN,-7.825,656.69,8.622e-4,0.018
119.603,3509.819,6.116,1.509e4,0,188.788,-12.586,NaN,-7.814,656.831,8.624e-4,0.018
119.899,3508.116,6.132,1.509e4,0,188.788,-12.586,NaN,-7.803,656.971,8.625e-4,0.018
120.194,3506.414,6.085,1.509e4,0,188.788,-12.586,NaN,-7.792,657.112,8.627e-4,0.018
120.489,3504.711,6.087,1.509e4,0,188.788,-12.586,NaN,-7.781,657.252,8.628e-4,0.018
120.784,3503.009,6.063,1.509e4,0,188.788,-12.586,NaN,-7.77,657.393,8.63e-4,0.018
121.079,3501.307,6.07,1.509e4,0,188.788,-12.586,NaN,-7.758,657.533,8.631e-4,0.018
121.374,3499.605,6.038,1.509e4,0,188.788,-12.586,NaN,-7.747,657.675,8.633e-4,0.018
121.669,3497.905,6.086,1.509e4,0,188.788,-12.586,NaN,-7.736,657.823,8.634e-4,0.018
121.964,3496.203,6.12,1.509e4,0,188.788,-12.586,NaN,-7.725,657.971,8.636e-4,0.018
122.259,3494.503,6.163,1.509e4,0,188.788,-12.586,NaN,-7.714,658.118,8.637e-4,0.018
122.553,3492.802,6.17,1.509e4,0,188.788,-12.586,NaN,-7.703,658.266,8.639e-4,0.018
122.848,3491.102,6.129,1.509e4,0,188.788,-12.586,NaN,-7.692,658.414,8.641e-4,0.018
123.143,3489.402,6.1,1.509e4,0,188.788,-12.586,NaN,-7.681,658.562,8.642e-4,0.018
123.438,3487.703,6.11,1.509e4,0,188.788,-12.586,NaN,-7.67,658.709,8.644e-4,0.018
123.733,3486.004,6.108,1.509e4,0,188.788,-12.586,NaN,-7.659,658.857,8.645e-4,0.018
124.027,3484.305,6.108,1.509e4,0,188.788,-12.586,NaN,-7.648,659.005,8.647e-4,0.018
124.322,3482.606,6.126,1.509e4,0,188.788,-12.586,NaN,-7.637,659.152,8.648e-4,0.018
124.617,3480.909,6.085,1.509e4,0,188.788,-12.586,NaN,-7.626,659.3,8.65e-4,0.018
124.911,3479.211,6.052,1.509e4,0,188.788,-12.586,NaN,-7.615,659.447,8.652e-4,0.018
125.206,3477.513,6.019,1.509e4,0,188.788,-12.586,NaN,-7.604,659.595,8.653e-4,0.018
125.501,3475.816,6.052,1.509e4,0,188.788,-12.586,NaN,-7.593,659.742,8.655e-4,0.018
125.795,3474.119,6.049,1.509e4,0,188.788,-12.586,NaN,-7.582,659.89,8.656e-4,0.018
126.09,3472.423,6.098,1.509e4,0,188.788,-12.586,NaN,-7.571,660.037,8.658e-4,0.018
126.384,3470.726,6.092,1.509e4,0,188.788,-12.586,NaN,-7.56,660.184,8.659e-4,0.018
126.679,3469.03,6.098,1.509e4,0,188.788,-12.586,NaN,-7.549,660.332,8.661e-4,0.018
126.973,3467.334,6.066,1.509e4,0,188.788,-12.586,NaN,-7.538,660.479,8.663e-4,0.018
127.268,3465.638,6.069,1.509e4,0,188.788,-12.586,NaN,-7.527,660.626,8.664e-4,0.018
127.562,3463.943,6.085,1.509e4,0,188.788,-12.586,NaN,-7.516,660.774,8.666e-4,0.018
127.856,3462.249,6.09,1.509e4,0,188.788,-12.586,NaN,-7.505,660.921,8.667e-4,0.018
128.151,3460.554,6.1,1.509e4,0,188.788,-12.586,NaN,-7.494,661.068,8.669e-4,0.018
128.445,3458.86,6.121,1.509e4,0,188.788,-12.586,NaN,-7.483,661.215,8.67e-4,0.018
128.739,3457.166,6.134,1.509e4,0,188.788,-12.586,NaN,-7.472,661.363,8.672e-4,0.018
129.033,3455.473,6.095,1.509e4,0,188.788,-12.586,NaN,-7.461,661.51,8.674e-4,0.018
129.328,3453.779,6.118,1.509e4,0,188.788,-12.586,NaN,-7.45,661.657,8.675e-4,0.018
129.622,3452.086,6.113,1.509e4,0,188.788,-12.586,NaN,-7.439,661.804,8.677e-4,0.018
129.916,3450.394,6.136,1.509e4,0,188.788,-12.586,NaN,-7.428,661.951,8.678e-4,0.018
130.21,3448.702,6.176,1.509e4,0,188.788,-12.586,NaN,-7.417,662.098,8.68e-4,0.018
130.504,3447.009,6.188,1.509e4,0,188.788,-12.586,NaN,-7.406,662.245,8.681e-4,0.018
130.798,3445.318,6.166,1.509e4,0,188.788,-12.586,NaN,-7.395,662.392,8.683e-4,0.018
131.092,3443.626,6.151,1.509e4,0,188.788,-12.586,NaN,-7.384,662.539,8.685e-4,0.018
131.386,3441.935,6.128,1.509e4,0,188.788,-12.586,NaN,-7.373,662.686,8.686e-4,0.018
131.68,3440.245,6.088,1.509e4,0,188.788,-12.586,NaN,-7.362,662.833,8.688e-4,0.018
131.975,3438.554,6.054,1.509e4,0,188.788,-12.586,NaN,-7.351,662.98,8.689e-4,0.018
132.269,3436.864,6.048,1.509e4,0,188.788,-12.586,NaN,-7.34,663.127,8.691e-4,0.018
132.562,3435.174,6.056,1.509e4,0,188.788,-12.586,NaN,-7.329,663.273,8.692e-4,0.018
132.856,3433.484,6.073,1.509e4,0,188.788,-12.586,NaN,-7.318,663.42,8.694e-4,0.018
133.15,3431.795,6.086,1.509e4,0,188.788,-12.586,NaN,-7.307,663.567,8.696e-4,0.018
133.444,3430.106,6.088,1.509e4,0,188.788,-12.586,NaN,-7.296,663.714,8.697e-4,0.018
133.738,3428.417,6.112,1.509e4,0,188.788,-12.586,NaN,-7.285,663.861,8.699e-4,0.018
134.032,3426.729,6.085,1.509e4,0,188.788,-12.586,NaN,-7.274,664.007,8.7e-4,0.018
134.325,3425.041,6.069,1.509e4,0,188.788,-12.586,NaN,-7.263,664.154,8.702e-4,0.018
134.619,3423.353,6.089,1.509e4,0,188.788,-12.586,NaN,-7.252,664.301,8.703e-4,0.018
134.913,3421.666,6.095,1.509e4,0,188.788,-12.586,NaN,-7.241,664.447,8.705e-4,0.018
135.206,3419.978,6.106,1.509e4,0,188.788,-12.586,NaN,-7.23,664.594,8.706e-4,0.018
135.5,3418.292,6.086,1.509e4,0,188.788,-12.586,NaN,-7.219,664.74,8.708e-4,0.018
135.794,3416.605,6.087,1.509e4,0,188.788,-12.586,NaN,-7.208,664.887,8.71e-4,0.018
136.087,3414.919,6.055,1.509e4,0,188.788,-12.586,NaN,-7.197,665.033,8.711e-4,0.018
136.381,3413.233,6.06,1.509e4,0,188.788,-12.586,NaN,-7.186,665.18,8.713e-4,0.018
136.674,3411.547,6.083,1.509e4,0,188.788,-12.586,NaN,-7.175,665.326,8.714e-4,0.018
136.968,3409.862,6.082,1.509e4,0,188.788,-12.586,NaN,-7.164,665.473,8.716e-4,0.018
137.261,3408.177,6.054,1.509e4,0,188.788,-12.586,NaN,-7.153,665.619,8.717e-4,0.018
137.555,3406.492,6.052,1.509e4,0,188.788,-12.586,NaN,-7.142,665.766,8.719e-4,0.018
137.848,3404.808,5.997,1.509e4,0,188.788,-12.586,NaN,-7.131,665.912,8.721e-4,0.018
138.142,3403.123,5.992,1.509e4,0,188.788,-12.586,NaN,-7.12,666.058,8.722e-4,0.018
138.435,3401.44,5.999,1.509e4,0,188.788,-12.586,NaN,-7.109,666.205,8.724e-4,0.018
138.729,3399.756,6.028,1.509e4,0,188.788,-12.586,NaN,-7.098,666.351,8.725e-4,0.018
139.022,3398.074,6.092,1.509e4,0,188.788,-12.586,NaN,-7.087,666.497,8.727e-4,0.018
139.316,3396.39,6.112,1.509e4,0,188.788,-12.586,NaN,-7.077,666.643,8.728e-4,0.018
139.609,3394.707,6.101,1.509e4,0,188.788,-12.586,NaN,-7.066,666.79,8.73e-4,0.018
139.902,3393.025,6.111,1.509e4,0,188.788,-12.586,NaN,-7.055,666.936,8.731e-4,0.018
140.196,3391.343,6.091,1.509e4,0,188.788,-12.586,NaN,-7.044,667.082,8.733e-4,0.018
140.489,3389.661,6.052,1.509e4,0,188.788,-12.586,NaN,-7.033,667.228,8.735e-4,0.018
140.782,3387.98,6.036,1.509e4,0,188.788,-12.586,NaN,-7.022,667.374,8.736e-4,0.018
141.075,3386.299,6.01,1.509e4,0,188.788,-12.586,NaN,-7.011,667.52,8.738e-4,0.018
141.368,3384.618,6.038,1.509e4,0,188.788,-12.586,NaN,-7,667.666,8.739e-4,0.018
141.662,3382.937,6.07,1.509e4,0,188.788,-12.586,NaN,-6.989,667.812,8.741e-4,0.018
141.955,3381.257,6.092,1.509e4,0,188.788,-12.586,NaN,-6.978,667.958,8.742e-4,0.018
142.455,3378.391,6.07,1.509e4,0,188.788,-12.586,NaN,-6.96,668.207,8.745e-4,0.018
142.748,3376.711,6.056,1.509e4,0,188.788,-12.586,NaN,-6.949,668.353,8.746e-4,0.018
143.041,3375.032,6.094,1.509e4,0,188.788,-12.586,NaN,-6.938,668.499,8.748e-4,0.018
143.334,3373.353,6.126,1.509e4,0,188.788,-12.586,NaN,-6.927,668.645,8.75e-4,0.018
143.627,3371.675,6.127,1.509e4,0,188.788,-12.586,NaN,-6.916,668.791,8.751e-4,0.018
143.919,3369.996,6.1,1.509e4,0,188.788,-12.586,NaN,-6.905,668.937,8.753e-4,0.018
144.212,3368.319,6.066,1.509e4,0,188.788,-12.586,NaN,-6.894,669.082,8.754e-4,0.018
144.505,3366.641,6.021,1.509e4,0,188.788,-12.586,NaN,-6.883,669.228,8.756e-4,0.018
144.798,3364.964,5.988,1.509e4,0,188.788,-12.586,NaN,-6.872,669.374,8.757e-4,0.018
145.091,3363.286,5.998,1.509e4,0,188.788,-12.586,NaN,-6.861,669.52,8.759e-4,0.018
145.384,3361.61,6.036,1.509e4,0,188.788,-12.586,NaN,-6.85,669.665,8.76e-4,0.018
145.677,3359.934,6.086,1.509e4,0,188.788,-12.586,NaN,-6.84,669.811,8.762e-4,0.018
145.97,3358.258,6.145,1.509e4,0,188.788,-12.586,NaN,-6.829,669.957,8.764e-4,0.017
146.263,3356.581,6.11,1.509e4,0,188.788,-12.586,NaN,-6.818,670.102,8.765e-4,0.018
146.555,3354.906,6.086,1.509e4,0,188.788,-12.586,NaN,-6.807,670.248,8.767e-4,0.018
146.848,3353.23,6.056,1.509e4,0,188.788,-12.586,NaN,-6.796,670.393,8.768e-4,0.017
147.141,3351.555,6.066,1.509e4,0,188.788,-12.586,NaN,-6.785,670.539,8.77e-4,0.018
147.433,3349.881,6.009,1.509e4,0,188.788,-12.586,NaN,-6.774,670.684,8.771e-4,0.017
147.726,3348.207,6.052,1.509e4,0,188.788,-12.586,NaN,-6.763,670.83,8.773e-4,0.017
148.019,3346.532,6.075,1.509e4,0,188.788,-12.586,NaN,-6.752,670.975,8.774e-4,0.017
148.519,3343.671,6.096,1.509e4,0,188.788,-12.586,NaN,-6.734,671.224,8.777e-4,0.017
148.811,3341.998,6.076,1.509e4,0,188.788,-12.586,NaN,-6.723,671.369,8.779e-4,0.017
149.104,3340.325,6.051,1.509e4,0,188.788,-12.586,NaN,-6.712,671.515,8.78e-4,0.017
149.396,3338.652,6.058,1.509e4,0,188.788,-12.586,NaN,-6.701,671.66,8.782e-4,0.017
149.688,3336.98,6.096,1.509e4,0,188.788,-12.586,NaN,-6.69,671.805,8.783e-4,0.017
149.981,3335.307,6.1,1.509e4,0,188.788,-12.586,NaN,-6.679,671.951,8.785e-4,0.017
150.273,3333.636,6.079,1.509e4,0,188.788,-12.586,NaN,-6.669,672.096,8.786e-4,0.017
150.565,3331.964,6.076,1.509e4,0,188.788,-12.586,NaN,-6.658,672.241,8.788e-4,0.017
150.858,3330.293,6.078,1.509e4,0,188.788,-12.586,NaN,-6.647,672.387,8.789e-4,0.017
151.15,3328.622,6.103,1.509e4,0,188.788,-12.586,NaN,-6.636,672.532,8.791e-4,0.017
151.442,3326.951,6.111,1.509e4,0,188.788,-12.586,NaN,-6.625,672.677,8.792e-4,0.017
151.734,3325.281,6.129,1.509e4,0,188.788,-12.586,NaN,-6.614,672.822,8.794e-4,0.017
152.027,3323.611,6.152,1.509e4,0,188.788,-12.586,NaN,-6.603,672.967,8.795e-4,0.017
152.319,3321.941,6.116,1.509e4,0,188.788,-12.586,NaN,-6.593,673.112,8.797e-4,0.018
152.611,3320.273,6.019,1.509e4,0,188.788,-12.586,NaN,-6.582,673.257,8.799e-4,0.017
152.904,3318.602,6.043,1.509e4,0,188.788,-12.586,NaN,-6.571,673.402,8.8e-4,0.017
153.196,3316.934,6.094,1.509e4,0,188.788,-12.586,NaN,-6.56,673.547,8.802e-4,0.017
153.488,3315.265,6.091,1.509e4,0,188.788,-12.586,NaN,-6.549,673.692,8.803e-4,0.017
153.78,3313.596,6.072,1.509e4,0,188.788,-12.586,NaN,-6.538,673.837,8.805e-4,0.017
154.072,3311.928,6.089,1.509e4,0,188.788,-12.586,NaN,-6.528,673.982,8.806e-4,0.017
154.364,3310.261,6.034,1.509e4,0,188.788,-12.586,NaN,-6.517,674.127,8.808e-4,0.017
154.656,3308.593,6.011,1.509e4,0,188.788,-12.586,NaN,-6.506,674.272,8.809e-4,0.017
154.948,3306.926,6.016,1.509e4,0,188.788,-12.586,NaN,-6.495,674.417,8.811e-4,0.017
155.24,3305.259,6.038,1.509e4,0,188.788,-12.586,NaN,-6.484,674.562,8.812e-4,0.017
155.532,3303.592,6.067,1.509e4,0,188.788,-12.586,NaN,-6.473,674.706,8.814e-4,0.017
155.824,3301.926,6.112,1.509e4,0,188.788,-12.586,NaN,-6.463,674.851,8.815e-4,0.017
156.116,3300.26,6.152,1.509e4,0,188.788,-12.586,NaN,-6.452,674.996,8.817e-4,0.017
156.408,3298.594,6.151,1.509e4,0,188.788,-12.586,NaN,-6.441,675.141,8.818e-4,0.017
156.699,3296.929,6.125,1.509e4,0,188.788,-12.586,NaN,-6.43,675.285,8.82e-4,0.017
156.991,3295.264,6.099,1.509e4,0,188.788,-12.586,NaN,-6.419,675.43,8.822e-4,0.017
157.283,3293.599,6.12,1.509e4,0,188.788,-12.586,NaN,-6.408,675.575,8.823e-4,0.017
157.575,3291.935,6.042,1.509e4,0,188.788,-12.586,NaN,-6.398,675.719,8.825e-4,0.017
157.867,3290.27,6.013,1.509e4,0,188.788,-12.586,NaN,-6.387,675.864,8.826e-4,0.017
158.158,3288.606,6.005,1.509e4,0,188.788,-12.586,NaN,-6.376,676.009,8.828e-4,0.017
158.45,3286.942,6.007,1.509e4,0,188.788,-12.586,NaN,-6.365,676.153,8.829e-4,0.017
158.741,3285.279,6.01,1.509e4,0,188.788,-12.586,NaN,-6.354,676.298,8.831e-4,0.017
159.033,3283.616,6.021,1.509e4,0,188.788,-12.586,NaN,-6.344,676.442,8.832e-4,0.017
159.325,3281.953,6.032,1.509e4,0,188.788,-12.586,NaN,-6.333,676.587,8.834e-4,0.017
159.616,3280.29,6.03,1.509e4,0,188.788,-12.586,NaN,-6.322,676.731,8.835e-4,0.017
159.908,3278.628,6.049,1.509e4,0,188.788,-12.586,NaN,-6.311,676.876,8.837e-4,0.017
160.199,3276.966,6.084,1.509e4,0,188.788,-12.586,NaN,-6.3,677.02,8.838e-4,0.017
160.491,3275.304,6.068,1.509e4,0,188.788,-12.586,NaN,-6.289,677.164,8.84e-4,0.017
160.782,3273.643,6.08,1.509e4,0,188.788,-12.586,NaN,-6.279,677.309,8.841e-4,0.017
161.073,3271.982,6.064,1.509e4,0,188.788,-12.586,NaN,-6.268,677.453,8.843e-4,0.017
161.365,3270.321,6.02,1.509e4,0,188.788,-12.586,NaN,-6.257,677.597,8.844e-4,0.017
161.656,3268.661,5.987,1.509e4,0,188.788,-12.586,NaN,-6.246,677.742,8.846e-4,0.017
161.948,3267,6.011,1.509e4,0,188.788,-12.586,NaN,-6.236,677.886,8.848e-4,0.017
162.239,3265.34,6.025,1.509e4,0,188.788,-12.586,NaN,-6.225,678.03,8.849e-4,0.017
162.53,3263.681,6.06,1.509e4,0,188.788,-12.586,NaN,-6.214,678.174,8.851e-4,0.017
162.821,3262.022,6.127,1.509e4,0,188.788,-12.586,NaN,-6.203,678.318,8.852e-4,0.017
163.113,3260.363,6.185,1.509e4,0,188.788,-12.586,NaN,-6.192,678.463,8.854e-4,0.017
163.404,3258.704,6.145,1.509e4,0,188.788,-12.586,NaN,-6.182,678.607,8.855e-4,0.017
163.696,3257.046,6.055,1.509e4,0,188.788,-12.586,NaN,-6.171,678.751,8.857e-4,0.017
163.987,3255.387,6.068,1.509e4,0,188.788,-12.586,NaN,-6.16,678.895,8.858e-4,0.017
164.278,3253.729,6.08,1.509e4,0,188.788,-12.586,NaN,-6.149,679.039,8.86e-4,0.017
164.569,3252.071,6.028,1.509e4,0,188.788,-12.586,NaN,-6.138,679.183,8.861e-4,0.017
164.861,3250.413,6.031,1.509e4,0,188.788,-12.586,NaN,-6.128,679.327,8.863e-4,0.017
165.152,3248.757,6.063,1.509e4,0,188.788,-12.586,NaN,-6.117,679.471,8.864e-4,0.017
165.443,3247.1,6.081,1.509e4,0,188.788,-12.586,NaN,-6.106,679.615,8.866e-4,0.017
165.734,3245.443,6.101,1.509e4,0,188.788,-12.586,NaN,-6.095,679.759,8.867e-4,0.017
166.025,3243.787,6.106,1.509e4,0,188.788,-12.586,NaN,-6.085,679.903,8.869e-4,0.017
166.316,3242.131,6.058,1.509e4,0,188.788,-12.586,NaN,-6.074,680.047,8.87e-4,0.017
166.607,3240.475,6.033,1.509e4,0,188.788,-12.586,NaN,-6.063,680.191,8.872e-4,0.017
166.898,3238.82,6.007,1.509e4,0,188.788,-12.586,NaN,-6.052,680.335,8.873e-4,0.017
167.188,3237.165,5.982,1.509e4,0,188.788,-12.586,NaN,-6.042,680.478,8.875e-4,0.017
167.479,3235.51,5.938,1.509e4,0,188.788,-12.586,NaN,-6.031,680.622,8.876e-4,0.017
167.77,3233.855,5.963,1.509e4,0,188.788,-12.586,NaN,-6.02,680.766,8.878e-4,0.017
168.061,3232.203,6.046,1.509e4,0,188.788,-12.586,NaN,-6.009,680.909,8.879e-4,0.017
168.353,3230.547,6.11,1.509e4,0,188.788,-12.586,NaN,-5.999,681.053,8.881e-4,0.017
168.644,3228.893,6.09,1.509e4,0,188.788,-12.586,NaN,-5.988,681.197,8.883e-4,0.017
168.934,3227.24,6.07,1.509e4,0,188.788,-12.586,NaN,-5.977,681.341,8.884e-4,0.017
169.434,3224.396,6.078,1.509e4,0,188.788,-12.586,NaN,-5.959,681.588,8.887e-4,0.017
169.725,3222.744,6.073,1.509e4,0,188.788,-12.586,NaN,-5.948,681.731,8.888e-4,0.017
170.016,3221.091,6.074,1.509e4,0,188.788,-12.586,NaN,-5.937,681.875,8.89e-4,0.017
170.306,3219.44,6.021,1.509e4,0,188.788,-12.586,NaN,-5.926,682.018,8.891e-4,0.017
170.597,3217.787,6.043,1.509e4,0,188.788,-12.586,NaN,-5.916,682.162,8.893e-4,0.017
170.887,3216.136,6.016,1.509e4,0,188.788,-12.586,NaN,-5.905,682.306,8.894e-4,0.017
171.178,3214.485,6.047,1.509e4,0,188.788,-12.586,NaN,-5.894,682.449,8.896e-4,0.017
171.469,3212.833,6.045,1.509e4,0,188.788,-12.586,NaN,-5.883,682.592,8.897e-4,0.017
171.759,3211.183,6.052,1.509e4,0,188.788,-12.586,NaN,-5.873,682.736,8.899e-4,0.017
172.049,3209.532,6.051,1.509e4,0,188.788,-12.586,NaN,-5.862,682.879,8.9e-4,0.017
172.34,3207.883,6.096,1.509e4,0,188.788,-12.586,NaN,-5.851,683.023,8.902e-4,0.017
172.63,3206.232,6.087,1.509e4,0,188.788,-12.586,NaN,-5.841,683.166,8.903e-4,0.017
172.921,3204.583,6.088,1.509e4,0,188.788,-12.586,NaN,-5.83,683.309,8.905e-4,0.017
173.211,3202.934,6.042,1.509e4,0,188.788,-12.586,NaN,-5.819,683.453,8.906e-4,0.017
173.502,3201.285,5.984,1.509e4,0,188.788,-12.586,NaN,-5.808,683.596,8.908e-4,0.017
173.792,3199.636,5.955,1.509e4,0,188.788,-12.586,NaN,-5.798,683.739,8.909e-4,0.017
174.082,3197.987,5.977,1.509e4,0,188.788,-12.586,NaN,-5.787,683.882,8.911e-4,0.017
174.373,3196.339,5.993,1.509e4,0,188.788,-12.586,NaN,-5.776,684.026,8.912e-4,0.017
174.663,3194.691,5.987,1.509e4,0,188.788,-12.586,NaN,-5.765,684.169,8.914e-4,0.017
174.953,3193.044,5.978,1.509e4,0,188.788,-12.586,NaN,-5.755,684.312,8.915e-4,0.017
175.243,3191.397,6.01,1.509e4,0,188.788,-12.586,NaN,-5.744,684.455,8.917e-4,0.017
175.533,3189.75,6.051,1.509e4,0,188.788,-12.586,NaN,-5.733,684.598,8.918e-4,0.017
175.824,3188.103,6.029,1.509e4,0,188.788,-12.586,NaN,-5.723,684.741,8.92e-4,0.017
176.114,3186.456,6.003,1.509e4,0,188.788,-12.586,NaN,-5.712,684.884,8.921e-4,0.017
176.404,3184.81,6.01,1.509e4,0,188.788,-12.586,NaN,-5.701,685.027,8.923e-4,0.017
176.694,3183.164,6.008,1.509e4,0,188.788,-12.586,NaN,-5.691,685.17,8.924e-4,0.017
176.984,3181.518,5.999,1.509e4,0,188.788,-12.586,NaN,-5.68,685.313,8.926e-4,0.017
177.274,3179.873,5.988,1.509e4,0,188.788,-12.586,NaN,-5.669,685.456,8.927e-4,0.017
177.564,3178.228,5.987,1.509e4,0,188.788,-12.586,NaN,-5.658,685.599,8.929e-4,0.017
177.854,3176.584,6.051,1.509e4,0,188.788,-12.586,NaN,-5.648,685.742,8.93e-4,0.017
178.144,3174.938,6.087,1.509e4,0,188.788,-12.586,NaN,-5.637,685.885,8.932e-4,0.017
178.434,3173.294,6.041,1.509e4,0,188.788,-12.586,NaN,-5.626,686.028,8.933e-4,0.017
178.724,3171.65,6.028,1.509e4,0,188.788,-12.586,NaN,-5.616,686.171,8.935e-4,0.017
179.014,3170.006,6.034,1.509e4,0,188.788,-12.586,NaN,-5.605,686.314,8.936e-4,0.017
179.304,3168.363,6.087,1.509e4,0,188.788,-12.586,NaN,-5.594,686.456,8.938e-4,0.017
179.594,3166.72,6.055,1.509e4,0,188.788,-12.586,NaN,-5.584,686.599,8.939e-4,0.017
179.884,3165.077,5.994,1.509e4,0,188.788,-12.586,NaN,-5.573,686.742,8.941e-4,0.017
180.174,3163.434,6.033,1.509e4,0,188.788,-12.586,NaN,-5.562,686.885,8.942e-4,0.017
180.464,3161.792,6.028,1.509e4,0,188.788,-12.586,NaN,-5.552,687.027,8.944e-4,0.017
180.753,3160.15,6.004,1.509e4,0,188.788,-12.586,NaN,-5.541,687.17,8.945e-4,0.017
181.043,3158.508,5.988,1.509e4,0,188.788,-12.586,NaN,-5.53,687.313,8.947e-4,0.017
181.333,3156.866,5.97,1.509e4,0,188.788,-12.586,NaN,-5.52,687.455,8.948e-4,0.017
181.622,3155.225,5.98,1.509e4,0,188.788,-12.586,NaN,-5.509,687.598,8.95e-4,0.017
181.912,3153.584,5.994,1.509e4,0,188.788,-12.586,NaN,-5.498,687.741,8.951e-4,0.017
182.201,3151.944,5.945,1.509e4,0,188.788,-12.586,NaN,-5.488,687.883,8.953e-4,0.017
182.491,3150.303,5.972,1.509e4,0,188.788,-12.586,NaN,-5.477,688.026,8.954e-4,0.017
182.781,3148.663,6.011,1.509e4,0,188.788,-12.586,NaN,-5.466,688.168,8.956e-4,0.017
183.07,3147.023,6.022,1.509e4,0,188.788,-12.586,NaN,-5.456,688.311,8.957e-4,0.017
183.36,3145.384,5.977,1.509e4,0,188.788,-12.586,NaN,-5.445,688.453,8.959e-4,0.017
183.649,3143.745,6.032,1.509e4,0,188.788,-12.586,NaN,-5.434,688.596,8.96e-4,0.017
183.939,3142.105,6.083,1.509e4,0,188.788,-12.586,NaN,-5.424,688.738,8.962e-4,0.017
